ipOwner,ipOwner_type,ipOwner_scale,ipOwner_commercial,ipOwner_country,ipOwner_region,ipOwner_country_match,ipOwner_abuse_reports,ipOwner_blacklist_flag,ipOwner_vpn_proxy_flag,ipOwner_tor_flag,ipOwner_asn,ipOwner_as_size,ipOwner_as_age,ipOwner_mobile_flag
PJSC MegaFon,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12389,10000,15,да
T2 Mobile LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,да
PJSC Vimpelcom,корпоративная сеть,национальный,TRUE,Россия,Москва,TRUE,5,FALSE,FALSE,FALSE,12345,10000,15,TRUE
Second Assignment,корпоративная сеть,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
MTS PJSC,корпоративная сеть,национальный,TRUE,Россия,Центральный,TRUE,5,FALSE,FALSE,FALSE,12345,10000,15,TRUE
Kuban-GSM Local Registry,корпоративная сеть,локальный,да,Россия,Краснодарский край,да,5,нет,нет,нет,AS12345,256,10,да
National Cable Networks,ISP,national,yes,USA,N/A,yes,5,no,no,no,12345,10000,10,no
LTD Erline,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Nevalink LLC,дата-центр,локальный,да,США,Калифорния,да,5,нет,да,нет,12345,256,10,нет
Brand AtHome,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
0,ISP,национальный,TRUE,Россия,Центральный,TRUE,5,FALSE,FALSE,FALSE,12345,1000,10,FALSE
Urals Branch,госорган,национальный,нет,Россия,Урал,да,5,нет,нет,нет,12345,256,10,нет
MTS CGSN Siberia,корпоративная сеть,национальный,да,Россия,Сибирь,да,5,нет,нет,нет,12345,1000,10,нет
T-Mob LLC,корпоративная сеть,национальный,да,США,Невада,да,5,нет,нет,нет,12345,1000,10,нет
Lancom Ltd Russia Sevastopol,корпоративная сеть,локальный,да,Россия,Севастополь,да,0,нет,нет,нет,AS12345,256,5,нет
JSC CenterTelecom Kaluga Branch,корпоративная сеть,локальный,да,Россия,Калужская область,да,5,нет,нет,нет,AS12345,256,10,нет
OJSC MSS-Povolzhe Network - GPRS Access Pool No,корпоративная сеть,локальный,да,Россия,Приволжский,да,5,нет,нет,нет,12345,256,10,да
PJSC Moscow City Telephone Network,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,15,нет
Lovitel LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
AO IK Informsvyaz-Chernozemye,корпоративная сеть,локальный,да,Россия,Центральный федеральный округ,да,5,нет,нет,нет,AS12345,256,10,нет
Business System Telehouse OOO,дата-центр,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Resource-M LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
PJSC Tattelecom,корпоративная сеть,локальный,да,Россия,Татарстан,да,5,нет,нет,нет,20485,256,15,нет
Sergei Volgapkin,корпоративная сеть,локальный,да,Россия,Центральный,да,0,нет,нет,нет,12345,256,5,нет
DoD Network Information Center,госорган,национальный,нет,США,неизвестно,да,0,нет,нет,нет,AS15169,1000,20,нет
Citylink Ltd,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
CityTelecom LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
K-telekom LLC,ISP,национальный,TRUE,Казахстан,Алматинская область,TRUE,5,FALSE,FALSE,FALSE,12345,256,10,FALSE
OJSC Rostelecom,ISP,национальный,да,Россия,Центральный,да,10,нет,нет,нет,12389,100000,15,нет
Omskie Kabelnye Seti Ltd.,корпоративная сеть,локальный,да,Россия,Омская область,да,5,нет,нет,нет,AS12345,256,10,нет
CJSC Telekommunikacii,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
Joint Stock Company TransTeleCom,корпоративная сеть,национальный,да,Россия,Центральный,да,5,нет,нет,нет,20485,1000,20,нет
Kompas Telecom Ltd,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Mastertel,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,8359,1024,20,нет
Intertelecom Ltd,ISP,национальный,да,Украина,Киевская область,да,5,нет,нет,нет,AS43188,256,15,нет
VMCity LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
OJSC Sibirtelecom,ISP,национальный,да,Россия,Сибирский федеральный округ,да,5,нет,нет,нет,12345,10000,15,нет
Dmitriy V. Kozmenko,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Skynet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
JSC ER-Telecom Holding,ISP,национальный,да,Россия,Урал,да,5,нет,нет,нет,AS20485,1000,15,нет
IskraTelecom JSC,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
PJSC Bashinformsvyaz,ISP,локальный,да,Россия,Башкортостан,да,5,нет,нет,нет,42525,256,15,нет
JSC Ufanet,ISP,локальный,да,Россия,Башкортостан,да,5,нет,нет,нет,42510,256,15,нет
