variable,class,count,missing_rate,unique_count,identical_rate,min,p25,p50,p75,max,mean,sd,cv,info_value,PSI_Interval_1,PSI_Interval_2,PSI_Interval_3,PSI_Interval_4,PSI_Interval_5,PSI_Interval_6,Reason
fa1_woe,numeric,29517,0,2,0.5138,-0.004841237293735158,-0.004841237293735158,0.004579285057923801,0.004579285057923801,0.004579285057923801,-0,0.0047,-7834.9558,2.2169364644277335e-5,0,0,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa2_woe,numeric,29517,0,5,0.3969,-0.046704208250188915,-0.046704208250188915,-0.03367439225719084,0.030192777602338447,0.09300619182648746,-1e-4,0.0522,-789.1999,0.002725961275457481,0,0,7e-4,0,-0,-3e-4,"IV, Missing Rate, Identity Filter"
fa3_woe,numeric,29517,0,3,0.5955,-0.08053975473503136,-0.03593283442717649,0.03810635490996031,0.03810635490996031,0.03810635490996031,-1e-4,0.0484,-696.2091,0.0023426475629089658,0,0.002,3e-4,0,-2e-4,-2e-4,"IV, Missing Rate, Identity Filter"
fa13_woe,numeric,29517,0,6,0.3038,-0.20809717696663663,-0.016180780796005205,0.026864358211047493,0.028921443655767647,0.1399424783613521,-3e-4,0.0931,-333.1068,0.008622416228848009,0,-2e-4,-2e-4,0,3e-4,0,"IV, Missing Rate, Identity Filter"
fa14_woe,numeric,29517,0,6,0.5399,-0.13768255528494736,-0.02087912089888119,-0.02087912089888119,0.005440938027589791,0.19365486236250842,-1e-4,0.0634,-777.4217,0.004024235386201538,0,-8e-4,-0.0052,0,0,0,"IV, Missing Rate, Identity Filter"
fa15_woe,numeric,29517,0,4,0.4369,-0.028922219211001403,-0.028486923888985684,0.012762293238642466,0.025424955748359773,0.025424955748359773,-0,0.0258,-1415.2145,6.629480394314009e-4,0,0.0014,3e-4,0,0,0,"IV, Missing Rate, Identity Filter"
fa16_woe,numeric,29517,0,6,0.5113,-0.08280834702584339,-0.006765608113171021,0.018667900905791558,0.018667900905791558,0.08831204882860158,-0,0.0415,-852.9982,0.0017207716358531154,0,-2e-4,0,1e-4,5e-4,0,"IV, Missing Rate, Identity Filter"
fa17_woe,numeric,29517,0,5,0.4923,-0.1496511034900169,-0.012568560728881316,0.012995815336732204,0.012995815336732204,0.129293286273553,-1e-4,0.0655,-493.8302,0.004280865171282147,0,-0.0013,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa20_woe,numeric,29517,0,6,0.3882,-0.15036055971085463,-0.053398667713587845,-0.014402084037338492,0.02294954859905643,0.16511253996045624,-1e-4,0.079,-599.4927,0.0062384654306612405,0,0,0,-1e-4,1e-4,1e-4,"IV, Missing Rate, Identity Filter"
fa23_woe,numeric,29517,0,5,0.5387,-0.05479388118215611,-0.05479388118215611,-0.05479388118215611,0.07920954622742044,0.08764893217267061,-1e-4,0.0635,-635.13,0.0040339003758264385,0,0,0,-0.0032,0,0,"IV, Missing Rate, Identity Filter"
fa24_woe,numeric,29517,0,7,0.2923,-0.0979033380706108,-0.04073646386611257,-0.02119938818232156,0.012653598007804835,0.18710739493405215,-1e-4,0.0666,-828.299,0.004434322590846426,0,-3e-4,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa25_woe,numeric,29517,0,5,0.3828,-0.08185739417264326,-0.010293879080593201,-0.010293879080593201,0.03355694000298611,0.04527161263242957,-0,0.0374,-922.5886,0.0013983688827599113,0,-0,-0.0011,-0.0011,0,0,"IV, Missing Rate, Identity Filter"
fa26_woe,numeric,29517,0,7,0.3173,-0.13424317098303792,0.004052805041778007,0.015360091187949293,0.016360292804477795,0.043401224398381774,-1e-4,0.0421,-710.5722,0.0017702189536814039,0,0,-2e-4,-5e-4,0,0,"IV, Missing Rate, Identity Filter"
fa27_woe,numeric,29517,0,5,0.4131,-0.11415380814451356,0.0056867281778459075,0.0056867281778459075,0.019726527302493167,0.023496617187468125,-0,0.0328,-909.3311,0.0010751699240503444,0,2e-4,0,0,-2e-4,-0.0012,"IV, Missing Rate, Identity Filter"
fa28_woe,numeric,29517,0,5,0.3475,-0.05467502733399561,-0.017666862266047696,0.0075423657019401446,0.03246460727603925,0.03246460727603925,-0,0.0261,-1369.0247,6.800145922086974e-4,0,-0.0029,0,0,0,0,"IV, Missing Rate, Identity Filter"
